brand,category_code,event_type,count
almacom,computers.components.cooler,cart,431
almacom,computers.components.cooler,purchase,130
almacom,computers.components.cooler,view,15386
almaks,furniture.bedroom.pillow,view,4
alphard,electronics.audio.subwoofer,cart,442
alphard,electronics.audio.subwoofer,purchase,139
alphard,electronics.audio.subwoofer,view,15984
alpicool,appliances.kitchen.refrigerators,cart,4
alpicool,appliances.kitchen.refrigerators,purchase,2
alpicool,appliances.kitchen.refrigerators,view,657
alpina,apparel.shoes,cart,122
alpina,apparel.shoes,purchase,29
alpina,apparel.shoes,view,6942
alpina,electronics.clocks,cart,3
alpina,electronics.clocks,view,1292
alpina,sport.ski,cart,2
alpina,sport.ski,purchase,1
alpina,sport.ski,view,132
alpine,auto.accessories.player,cart,517
alpine,auto.accessories.player,purchase,163
alpine,auto.accessories.player,view,22167
alpine,auto.accessories.videoregister,cart,1
alpine,auto.accessories.videoregister,view,361
alpine,electronics.audio.subwoofer,cart,221
alpine,electronics.audio.subwoofer,purchase,80
alpine,electronics.audio.subwoofer,view,10266
alser,computers.desktop,cart,132
alser,computers.desktop,purchase,24
alser,computers.desktop,view,7198
altacto,kids.toys,cart,4
altacto,kids.toys,purchase,2
altacto,kids.toys,view,183
altair,kids.skates,view,65
altair,sport.bicycle,cart,27
altair,sport.bicycle,purchase,3
altair,sport.bicycle,view,753
alteco,appliances.environment.air_heater,cart,94
alteco,appliances.environment.air_heater,purchase,18
alteco,appliances.environment.air_heater,view,3334
alteco,auto.accessories.compressor,cart,8
alteco,auto.accessories.compressor,purchase,6
alteco,auto.accessories.compressor,view,539
alteco,construction.tools.drill,cart,1991
alteco,construction.tools.drill,purchase,412
alteco,construction.tools.drill,view,37975
alteco,construction.tools.generator,cart,4
alteco,construction.tools.generator,purchase,1
alteco,construction.tools.generator,view,439
alteco,construction.tools.painting,cart,18
alteco,construction.tools.painting,purchase,2
alteco,construction.tools.painting,view,386
alteco,construction.tools.pump,cart,75
alteco,construction.tools.pump,purchase,11
alteco,construction.tools.pump,view,1987
alteco,construction.tools.saw,cart,197
alteco,construction.tools.saw,purchase,50
alteco,construction.tools.saw,view,6346
alteco,construction.tools.welding,cart,3
alteco,construction.tools.welding,purchase,3
alteco,construction.tools.welding,view,401
alteco,country_yard.lawn_mower,view,4
alterna,furniture.living_room.cabinet,cart,8
alterna,furniture.living_room.cabinet,view,1043
alvarez,electronics.audio.acoustic,view,23
alvitek,furniture.bedroom.blanket,cart,159
alvitek,furniture.bedroom.blanket,purchase,50
alvitek,furniture.bedroom.blanket,view,4977
alvitek,furniture.bedroom.pillow,cart,4
alvitek,furniture.bedroom.pillow,purchase,1
alvitek,furniture.bedroom.pillow,view,518
am.pm,construction.components.faucet,cart,10
am.pm,construction.components.faucet,purchase,4
am.pm,construction.components.faucet,view,413
am.pm,furniture.bathroom.bath,view,5
am.pm,furniture.bathroom.toilet,cart,1
am.pm,furniture.bathroom.toilet,view,223
amazon,computers.ebooks,cart,170
amazon,computers.ebooks,purchase,47
amazon,computers.ebooks,view,6949
amd,computers.components.cooler,view,25
amd,computers.components.cpu,cart,924
amd,computers.components.cpu,purchase,235
amd,computers.components.cpu,view,30311
amd,computers.components.hdd,view,120
amd,computers.components.memory,cart,32
amd,computers.components.memory,purchase,6
amd,computers.components.memory,view,832
amd,computers.components.videocards,view,2
amen,accessories.bag,cart,22
amen,accessories.bag,purchase,4
amen,accessories.bag,view,1368
americanmotionfitness,sport.trainer,view,75
amistar,electronics.audio.acoustic,cart,2
amistar,electronics.audio.acoustic,view,58
ampm,construction.components.faucet,view,3
ams,auto.accessories.player,cart,237
ams,auto.accessories.player,purchase,59
ams,auto.accessories.player,view,7033
andromeda,accessories.bag,cart,4
andromeda,accessories.bag,view,82
anex,kids.carriage,cart,70
anex,kids.carriage,purchase,22
anex,kids.carriage,view,5522
annaanna,apparel.costume,view,26
annaanna,apparel.dress,cart,114
annaanna,apparel.dress,purchase,17
annaanna,apparel.dress,view,14539
annovireverberi,appliances.environment.vacuum,cart,1
annovireverberi,appliances.environment.vacuum,view,76
anon,sport.ski,cart,36
anon,sport.ski,purchase,12
anon,sport.ski,view,1474
anreks,furniture.kitchen.table,cart,3
anreks,furniture.kitchen.table,purchase,1
anreks,furniture.kitchen.table,view,132
anreks,furniture.living_room.cabinet,view,44
ansmann,construction.tools.light,cart,50
ansmann,construction.tools.light,purchase,12
ansmann,construction.tools.light,view,1553
ansmann,sport.bicycle,cart,1
ansmann,sport.bicycle,view,91
anta,apparel.shoes.keds,cart,63
anta,apparel.shoes.keds,purchase,24
anta,apparel.shoes.keds,view,4420
antika,furniture.bathroom.bath,cart,28
antika,furniture.bathroom.bath,purchase,8
antika,furniture.bathroom.bath,view,763
anytek,auto.accessories.videoregister,cart,319
anytek,auto.accessories.videoregister,purchase,88
anytek,auto.accessories.videoregister,view,13011
aoc,computers.peripherals.monitor,cart,319
aoc,computers.peripherals.monitor,purchase,77
aoc,computers.peripherals.monitor,view,12334
aoc,electronics.video.tv,view,172
aoki,appliances.sewing_machine,cart,3
aoki,appliances.sewing_machine,view,72
aorus,computers.peripherals.monitor,cart,3
aorus,computers.peripherals.monitor,purchase,1
aorus,computers.peripherals.monitor,view,778
apacer,computers.components.hdd,cart,476
apacer,computers.components.hdd,purchase,181
apacer,computers.components.hdd,view,8642
apacer,computers.components.memory,cart,63
apacer,computers.components.memory,purchase,23
apacer,computers.components.memory,view,1502
apart,electronics.audio.acoustic,view,286
apart,electronics.audio.microphone,view,16
apollo,appliances.kitchen.kettle,cart,124
apollo,appliances.kitchen.kettle,purchase,39
apollo,appliances.kitchen.kettle,view,3816
apple,accessories.bag,cart,40
apple,accessories.bag,purchase,10
apple,accessories.bag,view,6644
apple,computers.desktop,cart,263
apple,computers.desktop,purchase,91
apple,computers.desktop,view,15979
apple,computers.notebook,cart,4703
apple,computers.notebook,purchase,1353
apple,computers.notebook,view,163206
apple,computers.peripherals.keyboard,cart,53
apple,computers.peripherals.keyboard,purchase,12
apple,computers.peripherals.keyboard,view,2462
apple,computers.peripherals.mouse,cart,84
apple,computers.peripherals.mouse,purchase,27
apple,computers.peripherals.mouse,view,1817
apple,electronics.audio.headphone,cart,79584
apple,electronics.audio.headphone,purchase,25893
apple,electronics.audio.headphone,view,707686
apple,electronics.clocks,cart,27217
apple,electronics.clocks,purchase,9898
apple,electronics.clocks,view,387018
apple,electronics.smartphone,cart,372077
apple,electronics.smartphone,purchase,127252
apple,electronics.smartphone,view,4159400
apple,electronics.tablet,cart,4304
apple,electronics.tablet,purchase,1145
apple,electronics.tablet,view,115684
apriori,furniture.living_room.sofa,cart,2
apriori,furniture.living_room.sofa,view,82
aqua,appliances.environment.water_heater,cart,957
aqua,appliances.environment.water_heater,purchase,221
aqua,appliances.environment.water_heater,view,18366
aqualife,furniture.living_room.cabinet,cart,1
aqualife,furniture.living_room.cabinet,purchase,1
aqualife,furniture.living_room.cabinet,view,176
aquamarine,stationery.cartrige,view,14
aquatic,accessories.bag,cart,7
aquatic,accessories.bag,purchase,2
aquatic,accessories.bag,view,205
aquaverso,appliances.environment.water_heater,view,23
ara,apparel.shoes,cart,29
ara,apparel.shoes,purchase,12
ara,apparel.shoes,view,1423
ara,apparel.shoes.sandals,view,108
ardesia,appliances.kitchen.hob,view,97
ardesia,appliances.kitchen.hood,view,15
ardesia,appliances.kitchen.oven,view,109
ardo,appliances.kitchen.hood,view,25
ardo,appliances.kitchen.refrigerators,view,1
arg,appliances.kitchen.meat_grinder,cart,6
arg,appliances.kitchen.meat_grinder,purchase,3
arg,appliances.kitchen.meat_grinder,view,151
arg,appliances.kitchen.microwave,cart,3589
arg,appliances.kitchen.microwave,purchase,1410
arg,appliances.kitchen.microwave,view,48966
arg,appliances.kitchen.mixer,cart,58
arg,appliances.kitchen.mixer,purchase,18
arg,appliances.kitchen.mixer,view,1461
arg,appliances.kitchen.oven,cart,214
arg,appliances.kitchen.oven,purchase,77
arg,appliances.kitchen.oven,view,4340
arg,appliances.kitchen.refrigerators,cart,1173
arg,appliances.kitchen.refrigerators,purchase,399
arg,appliances.kitchen.refrigerators,view,25329
arg,appliances.kitchen.washer,cart,56
arg,appliances.kitchen.washer,purchase,47
arg,appliances.kitchen.washer,view,1798
arg,appliances.personal.hair_cutter,cart,1
arg,appliances.personal.hair_cutter,view,39
arg,electronics.video.tv,cart,1016
arg,electronics.video.tv,purchase,358
arg,electronics.video.tv,view,17442
aria,electronics.audio.acoustic,cart,49
aria,electronics.audio.acoustic,purchase,20
aria,electronics.audio.acoustic,view,1426
ariete,appliances.kitchen.coffee_machine,cart,2
ariete,appliances.kitchen.coffee_machine,view,248
ariete,appliances.kitchen.kettle,view,182
ariete,appliances.kitchen.mixer,cart,21
ariete,appliances.kitchen.mixer,purchase,9
ariete,appliances.kitchen.mixer,view,1284
ariston,appliances.environment.water_heater,cart,6459
ariston,appliances.environment.water_heater,purchase,1930
ariston,appliances.environment.water_heater,view,90562
ark,electronics.smartphone,view,42
armani,electronics.clocks,cart,474
armani,electronics.clocks,purchase,163
armani,electronics.clocks,view,31012
arnica,appliances.environment.vacuum,cart,897
arnica,appliances.environment.vacuum,purchase,245
arnica,appliances.environment.vacuum,view,32145
arnica,appliances.kitchen.blender,cart,15
arnica,appliances.kitchen.blender,purchase,3
arnica,appliances.kitchen.blender,view,1160
arnica,appliances.kitchen.grill,view,143
arnica,appliances.kitchen.juicer,cart,2
arnica,appliances.kitchen.juicer,view,46
arnica,appliances.kitchen.kettle,cart,1
arnica,appliances.kitchen.kettle,view,23
arnica,appliances.kitchen.meat_grinder,cart,1
arnica,appliances.kitchen.meat_grinder,view,172
arno,kids.swing,cart,1
arno,kids.swing,view,92
arstisa,accessories.bag,view,185
artel,appliances.environment.air_conditioner,cart,244
artel,appliances.environment.air_conditioner,purchase,181
artel,appliances.environment.air_conditioner,view,3812
artel,appliances.environment.vacuum,cart,655
artel,appliances.environment.vacuum,purchase,161
artel,appliances.environment.vacuum,view,13113
artel,appliances.environment.water_heater,cart,757
artel,appliances.environment.water_heater,purchase,205
artel,appliances.environment.water_heater,view,10449
artel,appliances.iron,cart,1
artel,appliances.iron,purchase,1
artel,appliances.iron,view,32
artel,appliances.kitchen.blender,view,186
artel,appliances.kitchen.hood,cart,432
artel,appliances.kitchen.hood,purchase,99
artel,appliances.kitchen.hood,view,12634
artel,appliances.kitchen.juicer,view,127
artel,appliances.kitchen.kettle,cart,5
artel,appliances.kitchen.kettle,purchase,3
artel,appliances.kitchen.kettle,view,159
artel,appliances.kitchen.meat_grinder,cart,40
artel,appliances.kitchen.meat_grinder,purchase,6
artel,appliances.kitchen.meat_grinder,view,1647
artel,appliances.kitchen.oven,cart,2243
artel,appliances.kitchen.oven,purchase,709
artel,appliances.kitchen.oven,view,50813
artel,appliances.kitchen.refrigerators,cart,112
artel,appliances.kitchen.refrigerators,purchase,32
artel,appliances.kitchen.refrigerators,view,3668
artel,appliances.kitchen.washer,cart,3345
artel,appliances.kitchen.washer,purchase,893
artel,appliances.kitchen.washer,view,54196
artel,appliances.personal.scales,view,26
artel,electronics.video.tv,cart,18151
artel,electronics.video.tv,purchase,4979
artel,electronics.video.tv,view,288009
arturia,electronics.audio.music_tools.piano,view,164
artway,auto.accessories.videoregister,cart,20
artway,auto.accessories.videoregister,purchase,4
artway,auto.accessories.videoregister,view,708
arua,furniture.bedroom.blanket,cart,15
arua,furniture.bedroom.blanket,purchase,5
arua,furniture.bedroom.blanket,view,872
arua,furniture.bedroom.pillow,cart,4
arua,furniture.bedroom.pillow,view,451
ascoli,appliances.kitchen.refrigerators,view,14
asel,appliances.kitchen.oven,cart,3671
asel,appliances.kitchen.oven,purchase,958
asel,appliances.kitchen.oven,view,58897
ashleyfurniture,furniture.kitchen.chair,view,16
asics,apparel.shoes.keds,cart,170
asics,apparel.shoes.keds,purchase,42
asics,apparel.shoes.keds,view,19172
askona,furniture.bedroom.bed,cart,3
askona,furniture.bedroom.bed,view,332
askona,furniture.bedroom.blanket,cart,17
askona,furniture.bedroom.blanket,purchase,11
askona,furniture.bedroom.blanket,view,1326
askona,furniture.bedroom.pillow,cart,72
askona,furniture.bedroom.pillow,purchase,15
askona,furniture.bedroom.pillow,view,2811
askona,furniture.living_room.sofa,view,11
asm,furniture.living_room.sofa,cart,598
asm,furniture.living_room.sofa,purchase,127
asm,furniture.living_room.sofa,view,30873
asrock,computers.components.motherboard,cart,511
asrock,computers.components.motherboard,purchase,127
asrock,computers.components.motherboard,view,19112
asrock,computers.components.videocards,cart,166
asrock,computers.components.videocards,purchase,45
asrock,computers.components.videocards,view,6325
asrock,computers.desktop,view,304
aston,appliances.kitchen.kettle,cart,31
aston,appliances.kitchen.kettle,purchase,2
aston,appliances.kitchen.kettle,view,841
astrid,furniture.bedroom.bed,view,95
asus,accessories.bag,cart,3
asus,accessories.bag,purchase,1
asus,accessories.bag,view,311
asus,computers.components.cooler,cart,5
asus,computers.components.cooler,purchase,1
asus,computers.components.cooler,view,276
asus,computers.components.motherboard,cart,412
asus,computers.components.motherboard,purchase,121
asus,computers.components.motherboard,view,21479
asus,computers.components.power_supply,view,20
asus,computers.components.videocards,cart,723
asus,computers.components.videocards,purchase,151
asus,computers.components.videocards,view,27638
asus,computers.desktop,cart,28
asus,computers.desktop,purchase,3
asus,computers.desktop,view,2841
asus,computers.notebook,cart,8610
asus,computers.notebook,purchase,2632
asus,computers.notebook,view,377934
asus,computers.peripherals.keyboard,cart,22
asus,computers.peripherals.keyboard,purchase,3
asus,computers.peripherals.keyboard,view,1612
asus,computers.peripherals.monitor,cart,82
asus,computers.peripherals.monitor,purchase,55
asus,computers.peripherals.monitor,view,6880
asus,computers.peripherals.mouse,cart,83
asus,computers.peripherals.mouse,purchase,15
asus,computers.peripherals.mouse,view,2468
asus,electronics.audio.headphone,cart,48
asus,electronics.audio.headphone,purchase,16
asus,electronics.audio.headphone,view,2289
asus,electronics.audio.microphone,view,57
asus,electronics.smartphone,cart,45
asus,electronics.smartphone,purchase,13
asus,electronics.smartphone,view,3965
atlant,appliances.kitchen.refrigerators,cart,4241
atlant,appliances.kitchen.refrigerators,purchase,897
atlant,appliances.kitchen.refrigerators,view,111481
atlant,appliances.kitchen.washer,cart,502
atlant,appliances.kitchen.washer,purchase,160
atlant,appliances.kitchen.washer,view,16979
atlant,sport.bicycle,view,73
atlant,sport.snowboard,cart,28
atlant,sport.snowboard,purchase,8
atlant,sport.snowboard,view,1483
atlantic,appliances.environment.air_conditioner,cart,163
atlantic,appliances.environment.air_conditioner,purchase,22
atlantic,appliances.environment.air_conditioner,view,3579
atlantic,appliances.environment.water_heater,cart,1
atlantic,appliances.environment.water_heater,purchase,1
atlantic,appliances.environment.water_heater,view,99
atlantic,appliances.kitchen.refrigerators,cart,245
atlantic,appliances.kitchen.refrigerators,purchase,52
atlantic,appliances.kitchen.refrigerators,view,7533
atlantic,appliances.kitchen.washer,cart,214
atlantic,appliances.kitchen.washer,purchase,50
atlantic,appliances.kitchen.washer,view,4279
atomic,apparel.shoes,cart,18
atomic,apparel.shoes,purchase,3
atomic,apparel.shoes,view,567
atomic,sport.ski,cart,7
atomic,sport.ski,view,426
atrai,apparel.shoes,cart,4
atrai,apparel.shoes,purchase,2
atrai,apparel.shoes,view,444
attribute,appliances.ironing_board,view,198
audac,electronics.audio.acoustic,cart,9
audac,electronics.audio.acoustic,purchase,1
audac,electronics.audio.acoustic,view,361
audac,electronics.audio.microphone,view,9
audio-technica,electronics.audio.headphone,cart,74
audio-technica,electronics.audio.headphone,purchase,16
audio-technica,electronics.audio.headphone,view,3562
audio-technica,electronics.audio.microphone,cart,79
audio-technica,electronics.audio.microphone,purchase,32
audio-technica,electronics.audio.microphone,view,2414
audiotop,electronics.audio.subwoofer,cart,1
audiotop,electronics.audio.subwoofer,view,21
audison,electronics.audio.subwoofer,cart,15
audison,electronics.audio.subwoofer,purchase,6
audison,electronics.audio.subwoofer,view,2020
aula,electronics.audio.headphone,cart,2
aula,electronics.audio.headphone,view,130
auldey,kids.toys,view,4
aurora,auto.accessories.compressor,view,10
aurora,construction.tools.welding,cart,215
aurora,construction.tools.welding,purchase,20
aurora,construction.tools.welding,view,2993
aurora,kids.toys,cart,11
aurora,kids.toys,purchase,3
aurora,kids.toys,view,710
author,sport.bicycle,cart,58
author,sport.bicycle,purchase,3
author,sport.bicycle,view,3219
autoline,auto.accessories.player,cart,172
autoline,auto.accessories.player,purchase,54
autoline,auto.accessories.player,view,6140
autoprofi,auto.accessories.compressor,cart,37
autoprofi,auto.accessories.compressor,purchase,16
autoprofi,auto.accessories.compressor,view,1799
autovirazh,appliances.environment.vacuum,cart,11
autovirazh,appliances.environment.vacuum,purchase,3
autovirazh,appliances.environment.vacuum,view,530
autovirazh,auto.accessories.compressor,view,52
aux,appliances.environment.air_conditioner,view,145
ava,appliances.environment.fan,view,5
ava,appliances.kitchen.microwave,cart,16
ava,appliances.kitchen.microwave,purchase,1
ava,appliances.kitchen.microwave,view,908
ava,appliances.kitchen.refrigerators,view,104
ava,appliances.personal.scales,view,4
ava,electronics.audio.music_tools.piano,view,122
ava,electronics.video.tv,view,211
avalon,computers.desktop,cart,133
avalon,computers.desktop,purchase,46
avalon,computers.desktop,view,17100
avatar,electronics.audio.subwoofer,cart,123
avatar,electronics.audio.subwoofer,purchase,38
avatar,electronics.audio.subwoofer,view,3039
avel,auto.accessories.videoregister,cart,59
avel,auto.accessories.videoregister,purchase,15
avel,auto.accessories.videoregister,view,1483
avermedia,electronics.audio.headphone,view,17
avermedia,electronics.audio.microphone,cart,2
avermedia,electronics.audio.microphone,purchase,2
avermedia,electronics.audio.microphone,view,84
avis,auto.accessories.videoregister,cart,7
avis,auto.accessories.videoregister,purchase,1
